source,target,weight,edge_type,shared_organisations
L1912-00524,NAME:AYMARD,1,co_membership,L1912-00141
L1912-00524,NAME:BARRION,1,co_membership,L1912-00141
L1912-00524,NAME:BLAIVE,1,co_membership,L1912-00141
L1912-00524,NAME:COSTET,1,co_membership,L1912-00141
L1912-00524,NAME:COURRAI,1,co_membership,L1912-00141
L1912-00524,NAME:DELIGNE,1,co_membership,L1912-00141
L1912-00524,NAME:DUCROQUET,1,co_membership,L1912-00141
L1912-00524,NAME:EDOUARD,1,co_membership,L1912-00141
L1912-00524,NAME:PATRICE,1,co_membership,L1912-00141
L1912-00524,NAME:REBILLET,1,co_membership,L1912-00141
L1912-00524,NAME:ROLLAND,1,co_membership,L1912-00141
L1912-00524,NAME:S TARDY,1,co_membership,L1912-00141
L1912-00665,L1912-01291,2,co_membership,L1912-00141;L1912-00144
L1912-00665,L1912-02682,1,co_membership,L1912-00141
L1912-00665,NAME:AYMARD,1,co_membership,L1912-00141
L1912-00665,NAME:BARRION,1,co_membership,L1912-00141
L1912-00665,NAME:BLAIVE,1,co_membership,L1912-00141
L1912-00665,NAME:COSTET,1,co_membership,L1912-00141
L1912-00665,NAME:COURRAI,1,co_membership,L1912-00141
L1912-00665,NAME:DELIGNE,1,co_membership,L1912-00141
L1912-00665,NAME:DUCROQUET,1,co_membership,L1912-00141
L1912-00665,NAME:EDOUARD,1,co_membership,L1912-00141
L1912-00665,NAME:PATRICE,1,co_membership,L1912-00141
L1912-00665,NAME:REBILLET,1,co_membership,L1912-00141
L1912-00665,NAME:ROLLAND,1,co_membership,L1912-00141
L1912-00665,NAME:S TARDY,1,co_membership,L1912-00141
L1912-01291,L1912-02682,1,co_membership,L1912-00141
L1912-01291,NAME:AYMARD,1,co_membership,L1912-00141
L1912-01291,NAME:BARRION,2,co_membership,L1912-00141;L1912-02426
L1912-01291,NAME:BLAIVE,1,co_membership,L1912-00141
L1912-01291,NAME:COSTET,1,co_membership,L1912-00141
L1912-01291,NAME:COURRAI,1,co_membership,L1912-00141
L1912-01291,NAME:DELIGNE,1,co_membership,L1912-00141
L1912-01291,NAME:DUCROQUET,1,co_membership,L1912-00141
L1912-01291,NAME:EDOUARD,1,co_membership,L1912-00141
L1912-01291,NAME:PATRICE,1,co_membership,L1912-00141
L1912-01291,NAME:REBILLET,1,co_membership,L1912-00141
L1912-01291,NAME:ROLLAND,1,co_membership,L1912-00141
L1912-01291,NAME:S TARDY,1,co_membership,L1912-00141
L1912-02682,NAME:AYMARD,1,co_membership,L1912-00141
L1912-02682,NAME:BARRION,1,co_membership,L1912-00141
L1912-02682,NAME:BLAIVE,1,co_membership,L1912-00141
L1912-02682,NAME:COSTET,1,co_membership,L1912-00141
L1912-02682,NAME:COURRAI,1,co_membership,L1912-00141
L1912-02682,NAME:DELIGNE,1,co_membership,L1912-00141
L1912-02682,NAME:DUCROQUET,1,co_membership,L1912-00141
L1912-02682,NAME:EDOUARD,1,co_membership,L1912-00141
L1912-02682,NAME:PATRICE,1,co_membership,L1912-00141
L1912-02682,NAME:REBILLET,1,co_membership,L1912-00141
L1912-02682,NAME:ROLLAND,1,co_membership,L1912-00141
L1912-02682,NAME:S TARDY,1,co_membership,L1912-00141
NAME:AYMARD,NAME:BARRION,1,co_membership,L1912-00141
NAME:AYMARD,NAME:BLAIVE,1,co_membership,L1912-00141
NAME:AYMARD,NAME:COSTET,1,co_membership,L1912-00141
NAME:AYMARD,NAME:COURRAI,1,co_membership,L1912-00141
NAME:AYMARD,NAME:DELIGNE,1,co_membership,L1912-00141
NAME:AYMARD,NAME:DUCROQUET,1,co_membership,L1912-00141
NAME:AYMARD,NAME:EDOUARD,1,co_membership,L1912-00141
NAME:AYMARD,NAME:PATRICE,1,co_membership,L1912-00141
NAME:AYMARD,NAME:REBILLET,1,co_membership,L1912-00141
NAME:AYMARD,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:AYMARD,NAME:S TARDY,1,co_membership,L1912-00141
NAME:BARRION,NAME:BLAIVE,1,co_membership,L1912-00141
NAME:BARRION,NAME:COSTET,1,co_membership,L1912-00141
NAME:BARRION,NAME:COURRAI,1,co_membership,L1912-00141
NAME:BARRION,NAME:DELIGNE,1,co_membership,L1912-00141
NAME:BARRION,NAME:DUCROQUET,1,co_membership,L1912-00141
NAME:BARRION,NAME:EDOUARD,1,co_membership,L1912-00141
NAME:BARRION,NAME:PATRICE,1,co_membership,L1912-00141
NAME:BARRION,NAME:REBILLET,1,co_membership,L1912-00141
NAME:BARRION,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:BARRION,NAME:S TARDY,1,co_membership,L1912-00141
NAME:BLAIVE,NAME:COSTET,1,co_membership,L1912-00141
NAME:BLAIVE,NAME:COURRAI,1,co_membership,L1912-00141
NAME:BLAIVE,NAME:DELIGNE,1,co_membership,L1912-00141
NAME:BLAIVE,NAME:DUCROQUET,1,co_membership,L1912-00141
NAME:BLAIVE,NAME:EDOUARD,1,co_membership,L1912-00141
NAME:BLAIVE,NAME:PATRICE,1,co_membership,L1912-00141
NAME:BLAIVE,NAME:REBILLET,1,co_membership,L1912-00141
NAME:BLAIVE,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:BLAIVE,NAME:S TARDY,1,co_membership,L1912-00141
NAME:COSTET,NAME:COURRAI,1,co_membership,L1912-00141
NAME:COSTET,NAME:DELIGNE,1,co_membership,L1912-00141
NAME:COSTET,NAME:DUCROQUET,1,co_membership,L1912-00141
NAME:COSTET,NAME:EDOUARD,1,co_membership,L1912-00141
NAME:COSTET,NAME:PATRICE,1,co_membership,L1912-00141
NAME:COSTET,NAME:REBILLET,1,co_membership,L1912-00141
NAME:COSTET,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:COSTET,NAME:S TARDY,1,co_membership,L1912-00141
NAME:COURRAI,NAME:DELIGNE,1,co_membership,L1912-00141
NAME:COURRAI,NAME:DUCROQUET,1,co_membership,L1912-00141
NAME:COURRAI,NAME:EDOUARD,1,co_membership,L1912-00141
NAME:COURRAI,NAME:PATRICE,1,co_membership,L1912-00141
NAME:COURRAI,NAME:REBILLET,1,co_membership,L1912-00141
NAME:COURRAI,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:COURRAI,NAME:S TARDY,1,co_membership,L1912-00141
NAME:DELIGNE,NAME:DUCROQUET,1,co_membership,L1912-00141
NAME:DELIGNE,NAME:EDOUARD,1,co_membership,L1912-00141
NAME:DELIGNE,NAME:PATRICE,1,co_membership,L1912-00141
NAME:DELIGNE,NAME:REBILLET,1,co_membership,L1912-00141
NAME:DELIGNE,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:DELIGNE,NAME:S TARDY,1,co_membership,L1912-00141
NAME:DUCROQUET,NAME:EDOUARD,1,co_membership,L1912-00141
NAME:DUCROQUET,NAME:PATRICE,1,co_membership,L1912-00141
NAME:DUCROQUET,NAME:REBILLET,1,co_membership,L1912-00141
NAME:DUCROQUET,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:DUCROQUET,NAME:S TARDY,1,co_membership,L1912-00141
NAME:EDOUARD,NAME:PATRICE,1,co_membership,L1912-00141
NAME:EDOUARD,NAME:REBILLET,1,co_membership,L1912-00141
NAME:EDOUARD,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:EDOUARD,NAME:S TARDY,1,co_membership,L1912-00141
NAME:PATRICE,NAME:REBILLET,1,co_membership,L1912-00141
NAME:PATRICE,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:PATRICE,NAME:S TARDY,1,co_membership,L1912-00141
NAME:REBILLET,NAME:ROLLAND,1,co_membership,L1912-00141
NAME:REBILLET,NAME:S TARDY,1,co_membership,L1912-00141
NAME:ROLLAND,NAME:S TARDY,1,co_membership,L1912-00141
NAME:A LEBUCHER,NAME:G LECOLLIER,1,co_membership,L1912-00142
NAME:A LEBUCHER,NAME:MATTOU,1,co_membership,L1912-00142
NAME:A LEBUCHER,NAME:P BER,1,co_membership,L1912-00142
NAME:A LEBUCHER,NAME:SURLEAU,1,co_membership,L1912-00142
NAME:G LECOLLIER,NAME:MATTOU,1,co_membership,L1912-00142
NAME:G LECOLLIER,NAME:P BER,1,co_membership,L1912-00142
NAME:G LECOLLIER,NAME:SURLEAU,1,co_membership,L1912-00142
NAME:MATTOU,NAME:P BER,1,co_membership,L1912-00142
NAME:MATTOU,NAME:SURLEAU,1,co_membership,L1912-00142
NAME:P BER,NAME:SURLEAU,1,co_membership,L1912-00142
L1912-01165,L1912-01465,1,co_membership,L1912-00143
L1912-01165,NAME:HOUBANI,1,co_membership,L1912-00143
L1912-01165,NAME:JULES BESSIS,1,co_membership,L1912-00143
L1912-01165,NAME:SCIALOM,1,co_membership,L1912-00143
L1912-01165,NAME:V SITRUK,1,co_membership,L1912-00143
L1912-01165,NAME:VICTOR SCIALOM,1,co_membership,L1912-00143
L1912-01465,NAME:HOUBANI,1,co_membership,L1912-00143
L1912-01465,NAME:JULES BESSIS,1,co_membership,L1912-00143
L1912-01465,NAME:SCIALOM,1,co_membership,L1912-00143
L1912-01465,NAME:V SITRUK,1,co_membership,L1912-00143
L1912-01465,NAME:VICTOR SCIALOM,1,co_membership,L1912-00143
NAME:HOUBANI,NAME:JULES BESSIS,1,co_membership,L1912-00143
NAME:HOUBANI,NAME:SCIALOM,1,co_membership,L1912-00143
NAME:HOUBANI,NAME:V SITRUK,1,co_membership,L1912-00143
NAME:HOUBANI,NAME:VICTOR SCIALOM,1,co_membership,L1912-00143
NAME:JULES BESSIS,NAME:SCIALOM,1,co_membership,L1912-00143
NAME:JULES BESSIS,NAME:V SITRUK,1,co_membership,L1912-00143
NAME:JULES BESSIS,NAME:VICTOR SCIALOM,1,co_membership,L1912-00143
NAME:SCIALOM,NAME:V SITRUK,1,co_membership,L1912-00143
NAME:SCIALOM,NAME:VICTOR SCIALOM,1,co_membership,L1912-00143
NAME:V SITRUK,NAME:VICTOR SCIALOM,1,co_membership,L1912-00143
L1912-00665,NAME:RENOUX,1,co_membership,L1912-00144
L1912-00665,NAME:SOUIIVEL,1,co_membership,L1912-00144
L1912-00665,NAME:TRONCHE,1,co_membership,L1912-00144
L1912-01291,NAME:RENOUX,1,co_membership,L1912-00144
L1912-01291,NAME:SOUIIVEL,1,co_membership,L1912-00144
L1912-01291,NAME:TRONCHE,1,co_membership,L1912-00144
NAME:RENOUX,NAME:SOUIIVEL,1,co_membership,L1912-00144
NAME:RENOUX,NAME:TRONCHE,1,co_membership,L1912-00144
NAME:SOUIIVEL,NAME:TRONCHE,1,co_membership,L1912-00144
L1912-00178,L1912-00791,1,co_membership,L1912-00145
L1912-00178,L1912-01591,1,co_membership,L1912-00145
L1912-00178,L1912-01640,1,co_membership,L1912-00145
L1912-00178,NAME:A DUVIALARD,1,co_membership,L1912-00145
L1912-00178,NAME:BIANCHI,1,co_membership,L1912-00145
L1912-00178,NAME:BREUIL,1,co_membership,L1912-00145
L1912-00178,NAME:E LOUBET,1,co_membership,L1912-00145
L1912-00178,NAME:GERENTE,1,co_membership,L1912-00145
L1912-00178,NAME:INVERSIN,1,co_membership,L1912-00145
L1912-00178,NAME:L JOSSE,1,co_membership,L1912-00145
L1912-00178,NAME:MANVILLE,1,co_membership,L1912-00145
L1912-00178,NAME:MATLEI,1,co_membership,L1912-00145
L1912-00178,NAME:P NORMANT,1,co_membership,L1912-00145
L1912-00791,L1912-01591,1,co_membership,L1912-00145
L1912-00791,L1912-01640,1,co_membership,L1912-00145
L1912-00791,NAME:A DUVIALARD,1,co_membership,L1912-00145
L1912-00791,NAME:BIANCHI,1,co_membership,L1912-00145
L1912-00791,NAME:BREUIL,1,co_membership,L1912-00145
L1912-00791,NAME:E LOUBET,1,co_membership,L1912-00145
L1912-00791,NAME:GERENTE,1,co_membership,L1912-00145
L1912-00791,NAME:INVERSIN,1,co_membership,L1912-00145
L1912-00791,NAME:L JOSSE,1,co_membership,L1912-00145
L1912-00791,NAME:MANVILLE,1,co_membership,L1912-00145
L1912-00791,NAME:MATLEI,1,co_membership,L1912-00145
L1912-00791,NAME:P NORMANT,1,co_membership,L1912-00145
L1912-01591,L1912-01640,1,co_membership,L1912-00145
L1912-01591,NAME:A DUVIALARD,1,co_membership,L1912-00145
L1912-01591,NAME:BIANCHI,1,co_membership,L1912-00145
L1912-01591,NAME:BREUIL,1,co_membership,L1912-00145
L1912-01591,NAME:E LOUBET,1,co_membership,L1912-00145
L1912-01591,NAME:GERENTE,1,co_membership,L1912-00145
L1912-01591,NAME:INVERSIN,1,co_membership,L1912-00145
L1912-01591,NAME:L JOSSE,1,co_membership,L1912-00145
L1912-01591,NAME:MANVILLE,1,co_membership,L1912-00145
L1912-01591,NAME:MATLEI,1,co_membership,L1912-00145
L1912-01591,NAME:P NORMANT,1,co_membership,L1912-00145
L1912-01640,NAME:A DUVIALARD,1,co_membership,L1912-00145
L1912-01640,NAME:BIANCHI,1,co_membership,L1912-00145
L1912-01640,NAME:BREUIL,1,co_membership,L1912-00145
L1912-01640,NAME:E LOUBET,1,co_membership,L1912-00145
L1912-01640,NAME:GERENTE,1,co_membership,L1912-00145
L1912-01640,NAME:INVERSIN,1,co_membership,L1912-00145
L1912-01640,NAME:L JOSSE,1,co_membership,L1912-00145
L1912-01640,NAME:MANVILLE,1,co_membership,L1912-00145
L1912-01640,NAME:MATLEI,1,co_membership,L1912-00145
L1912-01640,NAME:P NORMANT,1,co_membership,L1912-00145
NAME:A DUVIALARD,NAME:BIANCHI,1,co_membership,L1912-00145
NAME:A DUVIALARD,NAME:BREUIL,1,co_membership,L1912-00145
NAME:A DUVIALARD,NAME:E LOUBET,1,co_membership,L1912-00145
NAME:A DUVIALARD,NAME:GERENTE,1,co_membership,L1912-00145
NAME:A DUVIALARD,NAME:INVERSIN,1,co_membership,L1912-00145
NAME:A DUVIALARD,NAME:L JOSSE,1,co_membership,L1912-00145
NAME:A DUVIALARD,NAME:MANVILLE,1,co_membership,L1912-00145
NAME:A DUVIALARD,NAME:MATLEI,1,co_membership,L1912-00145
NAME:A DUVIALARD,NAME:P NORMANT,1,co_membership,L1912-00145
NAME:BIANCHI,NAME:BREUIL,1,co_membership,L1912-00145
NAME:BIANCHI,NAME:E LOUBET,1,co_membership,L1912-00145
NAME:BIANCHI,NAME:GERENTE,1,co_membership,L1912-00145
NAME:BIANCHI,NAME:INVERSIN,1,co_membership,L1912-00145
NAME:BIANCHI,NAME:L JOSSE,1,co_membership,L1912-00145
NAME:BIANCHI,NAME:MANVILLE,1,co_membership,L1912-00145
NAME:BIANCHI,NAME:MATLEI,1,co_membership,L1912-00145
NAME:BIANCHI,NAME:P NORMANT,1,co_membership,L1912-00145
NAME:BREUIL,NAME:E LOUBET,1,co_membership,L1912-00145
NAME:BREUIL,NAME:GERENTE,1,co_membership,L1912-00145
NAME:BREUIL,NAME:INVERSIN,1,co_membership,L1912-00145
NAME:BREUIL,NAME:L JOSSE,1,co_membership,L1912-00145
NAME:BREUIL,NAME:MANVILLE,1,co_membership,L1912-00145
NAME:BREUIL,NAME:MATLEI,1,co_membership,L1912-00145
NAME:BREUIL,NAME:P NORMANT,1,co_membership,L1912-00145
NAME:E LOUBET,NAME:GERENTE,1,co_membership,L1912-00145
NAME:E LOUBET,NAME:INVERSIN,1,co_membership,L1912-00145
NAME:E LOUBET,NAME:L JOSSE,1,co_membership,L1912-00145
NAME:E LOUBET,NAME:MANVILLE,1,co_membership,L1912-00145
NAME:E LOUBET,NAME:MATLEI,1,co_membership,L1912-00145
NAME:E LOUBET,NAME:P NORMANT,1,co_membership,L1912-00145
NAME:GERENTE,NAME:INVERSIN,1,co_membership,L1912-00145
NAME:GERENTE,NAME:L JOSSE,1,co_membership,L1912-00145
NAME:GERENTE,NAME:MANVILLE,1,co_membership,L1912-00145
NAME:GERENTE,NAME:MATLEI,1,co_membership,L1912-00145
NAME:GERENTE,NAME:P NORMANT,1,co_membership,L1912-00145
NAME:INVERSIN,NAME:L JOSSE,1,co_membership,L1912-00145
NAME:INVERSIN,NAME:MANVILLE,1,co_membership,L1912-00145
NAME:INVERSIN,NAME:MATLEI,1,co_membership,L1912-00145
NAME:INVERSIN,NAME:P NORMANT,1,co_membership,L1912-00145
NAME:L JOSSE,NAME:MANVILLE,1,co_membership,L1912-00145
NAME:L JOSSE,NAME:MATLEI,1,co_membership,L1912-00145
NAME:L JOSSE,NAME:P NORMANT,1,co_membership,L1912-00145
NAME:MANVILLE,NAME:MATLEI,1,co_membership,L1912-00145
NAME:MANVILLE,NAME:P NORMANT,1,co_membership,L1912-00145
NAME:MATLEI,NAME:P NORMANT,1,co_membership,L1912-00145
L1912-00071,L1912-00120,1,co_membership,L1912-00146
L1912-00071,NAME:BENTEJAC,1,co_membership,L1912-00146
L1912-00071,NAME:BREUIL,1,co_membership,L1912-00146
L1912-00071,NAME:BRUNEL,1,co_membership,L1912-00146
L1912-00071,NAME:MARTINI,1,co_membership,L1912-00146
L1912-00071,NAME:OLLIER,1,co_membership,L1912-00146
L1912-00120,NAME:BENTEJAC,1,co_membership,L1912-00146
L1912-00120,NAME:BREUIL,1,co_membership,L1912-00146
L1912-00120,NAME:BRUNEL,1,co_membership,L1912-00146
L1912-00120,NAME:MARTINI,1,co_membership,L1912-00146
L1912-00120,NAME:OLLIER,1,co_membership,L1912-00146
NAME:BENTEJAC,NAME:BREUIL,1,co_membership,L1912-00146
NAME:BENTEJAC,NAME:BRUNEL,1,co_membership,L1912-00146
NAME:BENTEJAC,NAME:MARTINI,1,co_membership,L1912-00146
NAME:BENTEJAC,NAME:OLLIER,1,co_membership,L1912-00146
NAME:BREUIL,NAME:BRUNEL,1,co_membership,L1912-00146
NAME:BREUIL,NAME:MARTINI,1,co_membership,L1912-00146
NAME:BREUIL,NAME:OLLIER,1,co_membership,L1912-00146
NAME:BRUNEL,NAME:MARTINI,1,co_membership,L1912-00146
NAME:BRUNEL,NAME:OLLIER,1,co_membership,L1912-00146
NAME:MARTINI,NAME:OLLIER,1,co_membership,L1912-00146
L1912-00405,L1912-02270,1,co_membership,L1912-00147
L1912-00405,NAME:BROU,1,co_membership,L1912-00147
L1912-00405,NAME:COURTADE,1,co_membership,L1912-00147
L1912-00405,NAME:GIROD,1,co_membership,L1912-00147
L1912-00405,NAME:HAIOUNI,1,co_membership,L1912-00147
L1912-00405,NAME:L BLANC,1,co_membership,L1912-00147
L1912-00405,NAME:MARCILLE,1,co_membership,L1912-00147
L1912-00405,NAME:VERRV,1,co_membership,L1912-00147
L1912-02270,NAME:BROU,1,co_membership,L1912-00147
L1912-02270,NAME:COURTADE,1,co_membership,L1912-00147
L1912-02270,NAME:GIROD,1,co_membership,L1912-00147
L1912-02270,NAME:HAIOUNI,1,co_membership,L1912-00147
L1912-02270,NAME:L BLANC,1,co_membership,L1912-00147
L1912-02270,NAME:MARCILLE,1,co_membership,L1912-00147
L1912-02270,NAME:VERRV,1,co_membership,L1912-00147
NAME:BROU,NAME:COURTADE,1,co_membership,L1912-00147
NAME:BROU,NAME:GIROD,1,co_membership,L1912-00147
NAME:BROU,NAME:HAIOUNI,1,co_membership,L1912-00147
NAME:BROU,NAME:L BLANC,1,co_membership,L1912-00147
NAME:BROU,NAME:MARCILLE,1,co_membership,L1912-00147
NAME:BROU,NAME:VERRV,1,co_membership,L1912-00147
NAME:COURTADE,NAME:GIROD,1,co_membership,L1912-00147
NAME:COURTADE,NAME:HAIOUNI,1,co_membership,L1912-00147
NAME:COURTADE,NAME:L BLANC,1,co_membership,L1912-00147
NAME:COURTADE,NAME:MARCILLE,1,co_membership,L1912-00147
NAME:COURTADE,NAME:VERRV,1,co_membership,L1912-00147
NAME:GIROD,NAME:HAIOUNI,1,co_membership,L1912-00147
NAME:GIROD,NAME:L BLANC,1,co_membership,L1912-00147
NAME:GIROD,NAME:MARCILLE,1,co_membership,L1912-00147
NAME:GIROD,NAME:VERRV,1,co_membership,L1912-00147
NAME:HAIOUNI,NAME:L BLANC,1,co_membership,L1912-00147
NAME:HAIOUNI,NAME:MARCILLE,1,co_membership,L1912-00147
NAME:HAIOUNI,NAME:VERRV,1,co_membership,L1912-00147
NAME:L BLANC,NAME:MARCILLE,1,co_membership,L1912-00147
NAME:L BLANC,NAME:VERRV,1,co_membership,L1912-00147
NAME:MARCILLE,NAME:VERRV,1,co_membership,L1912-00147
L1912-01219,NAME:FINNOCCHI,1,co_membership,L1912-00148
L1912-01219,NAME:RAPP,1,co_membership,L1912-00148
L1912-01219,NAME:SURLEAU,1,co_membership,L1912-00148
NAME:FINNOCCHI,NAME:RAPP,1,co_membership,L1912-00148
NAME:FINNOCCHI,NAME:SURLEAU,1,co_membership,L1912-00148
NAME:RAPP,NAME:SURLEAU,1,co_membership,L1912-00148
L1912-00319,L1912-01681,1,co_membership,L1912-00149
L1912-00319,NAME:BARRION,1,co_membership,L1912-00149
L1912-00319,NAME:COUPIN,1,co_membership,L1912-00149
L1912-00319,NAME:COUPIN J B,1,co_membership,L1912-00149
L1912-00319,NAME:GUSTAVE ROLLAND,1,co_membership,L1912-00149
L1912-00319,NAME:NOMBREUX,1,co_membership,L1912-00149
